fly,neuron,source_example_prominence,source_example_spikes,source_example_yaw_r150,threshold_grid_sign_stable,threshold_grid_all_estimable,threshold_grid_finite_n,threshold_grid_r150_min,threshold_grid_r150_max
a2_s_03,a2_l,15,12434,-0.22627588418866315,True,True,6,-0.26264338053365077,-0.1421255999523453
a2_s_04,a2_l,15,10045,-0.37871795552404447,True,True,6,-0.4656409135923503,-0.25144179077969014
a2_s_05,a2_l,15,2736,-0.18888170471682153,True,True,6,-0.45850267443452536,-0.07172354486758153
a2_s_06,a2_l,15,16269,-0.4559379861167806,True,True,6,-0.4947670849512171,-0.37038798312378673
a1_s_02,a1_l,5.75,61952,-0.31158720986599064,True,True,3,-0.3459026433683229,-0.2202713521396785
a1_s_05,a1_l,5.75,31676,-0.22454306795792212,True,True,3,-0.2614025433334755,-0.18890991481494984
a1_s_08,a1_l,5.75,23454,-0.2660726641864314,True,True,3,-0.2660726641864314,-0.2462087690936172
a1_s_03,a1_l,5.75,60328,-0.1775333680633126,True,True,3,-0.17813400707815047,-0.16780682208011324
a1_s_06,a1_l,5.75,71935,-0.23533751254900923,True,True,3,-0.23533751254900923,-0.206871827438906
a1_s_07,a1_l,5.75,89004,-0.06713387402022836,True,True,3,-0.08674692888232367,-0.06713387402022836
a2_s_01,a2_l,15,20260,-0.30886846878041474,True,True,6,-0.30886846878041474,-0.2803410109279841
a2_s_07,a2_l,15,9254,-0.2630049419057352,True,True,6,-0.2630049419057352,-0.2237465741893335
a2_s_08,a2_l,15,27854,-0.22759274864693577,True,True,6,-0.2361317209005609,-0.21160438039881907
a1_a2_d_01,a2_l,15,16140,-0.2036587359658539,True,True,6,-0.2036587359658539,-0.10119572017596966
a1_a2_d_01,a1_l,5.75,73523,-0.002032376985872864,False,True,3,-0.035649015367905545,0.0042363756698516435
a2_d_08,a2_l,15,17323,-0.23141784795525433,True,True,6,-0.2440616284741436,-0.17716390178211242
a2_d_08,a2_r,15,14711,0.24916759520107643,True,True,6,0.18002078379588632,0.2526511231259222
a2_d_12,a2_l,15,8602,-0.3514383202816555,True,True,6,-0.4687802352988456,-0.1988992116663629
a2_d_12,a2_r,15,17142,0.4969015159285517,True,True,6,0.41538924995146376,0.5229293503491158
a2_d_13,a2_l,15,856,-0.1695921032045184,True,True,6,-0.16971181594812382,-0.09944024192939699
a2_d_13,a2_r,15,2565,0.26507308808351693,True,True,6,0.18212375338958056,0.2655358879728103
a1_a2_d_02,a2_l,15,14,-0.07173560869335709,True,False,5,-0.43485356975498857,-0.07173560869335709
a1_a2_d_02,a1_l,5.75,21993,-0.32086262101396096,True,True,3,-0.3941890412437037,-0.23469151885244902
a1_a2_d_03,a2_l,15,1670,-0.27535500260525114,True,True,6,-0.4441027487508701,-0.16731281775961837
a1_a2_d_03,a1_l,5.75,59791,-0.3912029291402709,True,True,3,-0.40008948873861044,-0.38793335540699253
a2_d_14,a2_l,15,6675,-0.28900422443864654,True,True,6,-0.2907984924678376,-0.19449300731004132
a2_d_14,a2_r,15,12044,0.2798958449342496,True,True,6,0.17432360109077882,0.34692799202318253
a1_d_07,a1_l,5.75,46004,-0.25174939016598086,True,True,3,-0.2554400856733246,-0.24242137758466517
a1_d_07,a1_r,5.75,35995,0.15486993686103495,True,True,3,0.13983057413329303,0.16088193800562425
a1_d_09,a1_l,5.75,22089,-0.21289104523918218,True,True,3,-0.23538870539999507,-0.17589037921288272
a1_d_09,a1_r,5.75,81364,0.34660175539564664,True,True,3,0.3234364656448307,0.34660175539564664
a1_a2_d_04,a2_l,15,17124,-0.2632833953087593,True,True,6,-0.30097260449197083,-0.20440814059287746
a1_a2_d_04,a1_l,5.75,38671,-0.17456397554303685,True,True,3,-0.17989963535619888,-0.14853384484910911
