fly,neuron,type,side,mat_channel,status,spikes,rate_mean_Hz,rate_no_stim_mean_Hz,fraction_ISI_under2ms,prominence,main_summary_eligible,author_quality_flag,noise_scale_median_mV,noise_scale_p05_mV,zero_mad_blocks,yaw_r0,yaw_r150,yaw_shift1_r150,yaw_shift2_r150,yaw_peak_abs_r,yaw_peak_abs_lag_ms,fwd_r0,fwd_r150,fwd_shift1_r150,fwd_shift2_r150,lat_r0,lat_r150,lat_shift1_r150,lat_shift2_r150,yaw_counts_r150,yaw_vm_r150,rate_vm_r0,yaw_r150_third1,yaw_r150_third2,yaw_r150_third3,source_example_prominence,source_example_spikes,source_example_yaw_r150,threshold_grid_r150_min,threshold_grid_r150_max,threshold_grid_sign_stable,all_thirds_yaw_sign_agree,threshold_grid_all_estimable,threshold_grid_finite_n
a2_s_03,a2_l,DNa02,left,ephys_A,usable,23807,12.530131896125223,12.229380563207139,0.0,7.5,True,,0.19906150602356693,0.1952678663878655,0.0,-0.12549754122957207,-0.2599739118825874,0.008877616475283078,0.013236953543497654,-0.2599748972006764,140,0.14126144527839532,0.09879405161081287,-0.021777207562156967,0.005951299235436528,-0.11855483078474845,-0.2246775215591989,-3.901617927255129e-05,0.013893871523996534,-0.18325384010736795,-0.21576945663762442,0.7036848527399188,-0.18525900687218305,-0.29539937445075315,-0.2762635415511735,15,12434,-0.22627588418866315,-0.26264338053365077,-0.1421255999523453,True,True,True,6
a2_s_04,a2_l,DNa02,left,ephys_A,usable,42361,18.056846179421818,17.83649990320529,0.0,7.5,True,,0.25822331031182727,0.2533981592801202,0.0,-0.2792577106488122,-0.4656409135923503,-0.036123700400151004,-0.04464312558699585,-0.4702364903980683,170,0.08306187087707327,0.07659347359717197,-0.01235593145171428,-0.022272331659748734,-0.265178049494063,-0.4240687548797769,-0.024281448655274443,-0.03581970752485567,-0.3092230801008583,-0.4323722918397754,0.8095649554983566,-0.5641161923903829,-0.5101638907014143,-0.3726949770181233,15,10045,-0.37871795552404447,-0.4656409135923503,-0.25144179077969014,True,True,True,6
a2_s_05,a2_l,DNa02,left,ephys_A,usable,31689,18.212278302049448,17.927061192527127,0.0,7.5,True,,0.3653183857825739,0.35831576370742296,0.0,-0.18743353592280404,-0.45850267443452536,0.03513462465192258,-0.021955167649851975,-0.45850267443452536,150,0.1640278504562614,0.09541944641160116,-0.01149020851518006,-0.0007143514698161172,-0.2619488819733824,-0.4648847086142955,0.04221057600674113,-0.009911881111698361,-0.2687702888958674,-0.3163145802523553,0.5648661938875061,-0.4229738683872593,-0.5220578561700587,-0.4566326406095152,15,2736,-0.18888170471682153,-0.45850267443452536,-0.07172354486758153,True,True,True,6
a2_s_06,a2_l,DNa02,left,ephys_A,usable,25143,13.35986567338654,13.281492465257422,0.0,7.5,True,,0.19931403462694253,0.19549963211874935,0.0,-0.35412406173401173,-0.48873111493300003,-0.03599171518881384,-0.015308634619028783,-0.4981318739014386,120,0.06446843417457507,0.0924661498842206,0.040789272017770876,-0.030916552464159242,-0.25755292626781856,-0.34723604671650604,-0.03241694422251185,-0.005683421763180301,-0.37398592547521153,-0.43720072635020596,0.8412763650207334,-0.4504609544959343,-0.5151804714384958,-0.49767454804292344,15,16269,-0.4559379861167806,-0.4947670849512171,-0.37038798312378673,True,True,True,6
a1_s_02,a1_l,DNa01,left,ephys_A,usable,61952,20.65080433869559,20.90992315787956,0.0,5.75,True,,0.33259404483853117,0.3270143560340436,0.0,-0.2540692830545123,-0.31158720986599064,0.03781555212298068,0.008898278671781076,-0.3339608791028683,110,0.1721501658299717,0.1875735077869368,-0.04737337359109356,-0.003955482086015769,-0.24611056448708124,-0.3077291951393113,0.0513868289459845,0.0024188981304948728,-0.15353259344897408,-0.24911214954647784,0.7193161213607424,-0.2120745688602979,-0.3141608614644545,-0.349160964830291,5.75,61952,-0.31158720986599064,-0.3459026433683229,-0.2202713521396785,True,True,True,3
a1_s_05,a1_l,DNa01,left,ephys_A,usable,31676,11.196968518688715,11.00282064806109,9.471191791633781e-05,5.75,True,,0.16484304420473722,0.1618135221014728,0.0,-0.11720558070695267,-0.22454306795792212,-0.005807208129301118,-0.008450132092796384,-0.2542098013231071,220,-0.05709652322255616,-0.12996044980300275,-0.03580788226019073,-0.02282663046952029,-0.057097076633563615,-0.1299610436179497,-0.035807686264510814,-0.022826333041862327,-0.149315220542504,-0.14686010538672012,0.6479007050679749,-0.20417163841477814,-0.132026077206344,-0.2819164021688155,5.75,31676,-0.22454306795792212,-0.2614025433334755,-0.18890991481494984,True,True,True,3
a1_s_08,a1_l,DNa01,left,ephys_A,usable,23454,14.163214531576468,14.233185730893322,0.0,5.75,True,,0.190624362174434,0.18755761275839095,0.0,-0.19769654051160931,-0.2660726641864314,-0.019652767592482277,0.022685376435311645,-0.2734763498345478,120,0.19046815646941023,0.1809318774810064,0.02312913484772194,-0.031061506285437454,-0.2518882648301632,-0.30584341258213915,-0.031047407468129975,0.028502709872118243,-0.14400624308554708,-0.14277104295039963,0.6015910909304326,-0.24247780168246036,-0.2867030255802407,-0.3063392748842545,5.75,23454,-0.2660726641864314,-0.2660726641864314,-0.2462087690936172,True,True,True,3
a1_s_03,a1_l,DNa01,left,ephys_A,usable,60328,20.983798148161032,20.987619955601637,0.0,5.75,True,,0.17365286416680503,0.17056403623706165,0.0,-0.09182194468851489,-0.1775333680633126,-0.008002555673139148,0.013867851593800598,-0.1775333680633126,150,0.22379162363222838,0.24340994205489436,-0.059484642824747365,0.03246054746376518,-0.15797257789748803,-0.2264429944250056,-0.003124869116258894,0.0035489000194623248,-0.10417302575375548,-0.13842903469604553,0.8235582397446494,-0.16247544276438583,-0.15357464989683794,-0.22168404102321881,5.75,60328,-0.1775333680633126,-0.17813400707815047,-0.16780682208011324,True,True,True,3
a1_s_06,a1_l,DNa01,left,ephys_A,usable,71935,25.021043624651302,25.01757145143668,0.0,5.75,True,,0.22448170037748166,0.22036527889730997,0.0,-0.19405883511510227,-0.23533751254900923,-0.010473396900320963,0.004371839774244895,-0.24220722349261625,120,0.027428242770325538,0.017152263794459804,-0.027653349928275495,0.0030158822089948255,0.02742737009834257,0.01715159646915214,-0.02765432653171857,0.003016274605071382,-0.13549381783340114,-0.16368808573148194,0.7625003539326638,-0.16366289676717952,-0.27030918889154865,-0.25420515446928543,5.75,71935,-0.23533751254900923,-0.23533751254900923,-0.206871827438906,True,True,True,3
a1_s_07,a1_l,DNa01,left,ephys_A,usable,89004,32.24805976854905,32.25431137594328,0.0,5.75,True,,0.26223513753650696,0.2576573468717675,0.0,-0.05941670582454511,-0.06713387402022836,0.0010763427909883324,-0.04537004288780876,-0.07595974575192893,80,-0.04810661382365734,-0.061393946147778315,0.011392541414071635,-0.055468349362698954,-0.04810661382365734,-0.06139394614777831,0.011392541414071635,-0.055468349362698954,-0.03441810341942659,-0.047506151326347855,0.8273142256440219,-0.09817438513071115,-0.12691998676782712,-0.09938999716695544,5.75,89004,-0.06713387402022836,-0.08674692888232367,-0.06713387402022836,True,True,True,3
